title,location,address,city,state,zip_code,subject,objectid,datebuilt_architect,date,latitude,longitude,architect,filename,rights,format
Galilee Baptist Church Building,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,church,fulldata_251,"1900, Kennedy & Kelsey",1900,40.028745,-75.213417,Kennedy & Kelsey,,,
Thomas Meehan Public School,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,fulldata_252,"1901, Lloyd Titus",1901,40.032722,-75.182942,Lloyd Titus,,,
Grace Baptist Church Building #2,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,church,fulldata_253,"late 1960s, Mansell, McGettigan & Fugate",1960s,40.037799,-75.190539,"Mansell, McGettigan & Fugate",,,
Canaan Baptist Church Building / West Side Presbyterian Church Building,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,church,fulldata_254,"1891, Mantle Fielding",1891,39.822719,-84.8706574,Mantle Fielding,https://bloximages.chicago2.vip.townnews.com/phillytrib.com/content/tncms/assets/v3/editorial/d/22/d22f535b-4d54-530a-8a04-db5bc59d4b91/5aecb5e9c8a58.image.jpg,,image/jpeg
Janes Methodist Church Building,Northwest,528 E. Haines St.,Philadelphia,PA,19144,church,fulldata_255,"ca. 1898 or 1911, Rankin and Kellogg",1898;1911,40.04493,-75.169789,Rankin and Kellogg,,,
Germantown YMCA,Northwest,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,fulldata_256,"1928, Thomas, Martin & Kirkpatrick",1928,40.034007,-75.177817,"Thomas, Martin & Kirkpatrick",https://bpldcassets.blob.core.windows.net/derivatives/images/commonwealth:44558z74k/image_access_800.jpg,,image/jpeg
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,6153 Germantown Ave.,Philadelphia,PA,19144,church,fulldata_257,"1914, architect unknown; alterations, William H. Lee, c. 1936; alterations c.1976",1914;1936;1976,39.943066,-75.151993,William H. Lee,,,
Aces Museum,Northwest,5801-5803 Germantown Ave.,Philadelphia,PA,19144,museum; USO,fulldata_258,ca. 1900; alterations 1950,1900;1950,40.03695,-75.1755599,,,,
Bethel A.M.E. Church (Germantown) Building #1 / Mt. Vernon Baptist Church,Northwest,460 E. Rittenhouse St.,Philadelphia,PA,19144,church,fulldata_259,1893,1893,39.962929,-75.204126,,,,
C. Delores Tucker House,Northwest,6700 Lincoln Dr.,Philadelphia,PA,19119,dwelling,fulldata_260,,,39.943066,-75.151993,,,,
Canaan Baptist Church Site,Northwest,524 E. Haines St.,Philadelphia,PA,19144,church,fulldata_261,,,39.9434292,-75.1563819,,,,
Cliveden,Northwest,6401 Germantown Ave.,Philadelphia,PA,19119,dwelling; museum,fulldata_262,"1763, 1764",1763;1764,41.662912,-72.782406,,http://www.phillyhistory.org/PhotoArchive/MediaStream.ashx?SC=2&ImageId=104893,,image/jpeg
Douglass House Site,Northwest,6200 Germantown Ave.,Philadelphia,PA,19144,dwelling,fulldata_263,,,39.9517171,-75.1583039,,,,
Dr. William H. Warrick House and Office,Northwest,31 or 41 W. Harvey St.,Philadelphia,PA,19144,dwelling; office,fulldata_264,,,39.9867782,-75.1487463,,,,
Enon Tabernacle Baptist Church Site,Northwest,5 W. Coulter St.,Philadelphia,PA,19144,church,fulldata_265,,,40.028615,-75.175241,,,,
First Protest Against Slavery / Kunder House,Northwest,5109 Germantown Ave.,Philadelphia,PA,19144,dwelling,fulldata_266,,,39.973054,-75.141599,,https://www.hmdb.org/Photos1/170/Photo170532.jpg,,image/jpeg
Florence Crittenton Home / Youth Service Inc. / Crittenton Family Support Center,Northwest,6325 Burbridge Street,Philadelphia,PA,19144,,fulldata_267,,,40.040523,-75.184822,,,,
George W. Deane Real Estate Office,Northwest,5914 Germantown Ave.,Philadelphia,PA,19144,office building,fulldata_268,,,40.037991,-75.176972,,,,
Germantown Free Kindergarten,Northwest,Pulaski Ave. and W. Queen Lane,Philadelphia,PA,19144,school,fulldata_269,,,39.990821,-75.168428,,,,
Germantown Industrial School for Colored Women,Northwest,30 Armat St.,Philadelphia,PA,19144,school,fulldata_270,,,39.990821,-75.168428,,,,
Germantown Mennonite Meetinghouse,Northwest,6133 Germantown Ave.,Philadelphia,PA,19144,meetinghouse,fulldata_271,1770,1770,40.041639,-75.17927,,,,
Germantown Settlement,Northwest,48 E. Penn St.,Philadelphia,PA,19144,dwelling; settlement house,fulldata_272,ca. 1855,1855,40.033468,-75.167635,,,,
Germantown YWCA Branch for Colored Girls and Women,Northwest,6128 Germantown Ave.,Philadelphia,PA,19144,young women's Christian association,fulldata_273,ca. 1854,1854,40.040989,-75.180122,,,,
Holsey C.M.E. Church,Northwest,5305 Germantown Ave.,Philadelphia,PA,19144,church,fulldata_274,ca. 1969,1969,40.032917,-75.169346,,,,
